,Alert,IQR,Kurto,Entro,Skewn,Sex,Comp,Picos,Umbral,Gama
115,TRUE,0.8297,12.894,0.91963,1.8929,Mujer,Slim,0,24.049,Alta
116,TRUE,0.5724,24.937,0.65634,2.76356,Mujer,Slim,0,44.268,Alta
117,TRUE,0.433,41.203,0.76768,5.4124,Mujer,Slim,0,39.001,Alta
118,TRUE,1.2058,12.546,1.11419,1.2861,Mujer,Slim,0,43.448,Alta
119,TRUE,1.435,34.191,0.94954,4.77431,Mujer,Slim,0,58.18,Alta
120,TRUE,0.7292,32.907,0.63502,4.34511,Mujer,Slim,0,68.984,Alta
121,TRUE,2.6826,18.703,1.29721,3.40744,Mujer,Slim,1,17.773,Alta
122,TRUE,1.2331,9.1406,1.1903,1.98527,Mujer,Slim,1,20.179,Media
123,TRUE,0.7365,21.012,0.98492,3.50685,Mujer,Slim,0,30.317,Media
124,TRUE,1.1789,19.857,1.11334,2.58841,Mujer,Slim,0,39.39,Media
125,TRUE,1.0359,13.418,0.96452,2.04697,Mujer,Slim,1,26.09,Media
126,TRUE,1.2989,15.492,1.02177,2.61612,Mujer,Slim,0,27.925,Media
127,TRUE,0.5542,8.9226,0.90972,0.55682,Mujer,Slim,1,23.726,Media
128,TRUE,0.719,16.286,0.9018,2.78404,Mujer,Slim,0,30.014,Media
129,TRUE,0.6047,17.326,0.77048,1.74164,Mujer,Slim,0,35.241,Media
130,TRUE,0.5271,22.408,0.96063,2.48303,Mujer,Slim,0,30.987,Media
131,TRUE,0.6429,14.119,1.13477,0.81958,Mujer,Slim,0,27.728,Media
132,TRUE,0.7739,22.463,0.84113,3.27316,Mujer,Slim,0,33.791,Media
133,TRUE,0.8297,18.501,1.01927,2.5142,Mujer,Slim,0,28.384,Media
134,TRUE,0.3462,27.479,0.95564,3.40536,Mujer,Slim,0,28.973,Media
135,TRUE,0.6167,30.699,0.92529,4.1223,Mujer,Slim,0,36.226,Media
136,TRUE,0.4514,14.608,0.94032,1.49064,Mujer,Slim,0,27.656,Media
137,TRUE,0.4808,14.149,0.83748,1.52952,Mujer,Slim,0,24.618,Media
138,TRUE,1.1059,11.373,1.17189,1.43166,Mujer,Slim,0,23.858,Media
139,TRUE,1.3184,15.68,1.18706,2.79994,Mujer,Slim,0,29.101,Media
140,TRUE,0.6853,21.138,1.05225,3.3887,Mujer,Slim,0,30.403,Media
141,TRUE,2.5226,0.8576,1.82188,0.25384,Mujer,Slim,0,15.197,Media
142,TRUE,0.6572,8.60889,1.1688,0.7011,Mujer,Slim,1,23.5325,Alta
143,TRUE,0.6973,20.2471,0.9276,3.5127,Mujer,Slim,2,15.3587,Alta
144,TRUE,0.8283,11.1766,1.1168,2.0071,Mujer,Slim,0,16.399,Alta
145,TRUE,0.5753,8.1478,1.1644,1.2542,Mujer,Slim,1,17.17,Alta
146,TRUE,0.4175,23.482,0.9217,2.8166,Mujer,Slim,1,31.977,Alta
147,TRUE,0.5154,10.0273,1.0476,0.9279,Mujer,Slim,1,24.0581,Alta
148,TRUE,0.5765,10.0392,1.2747,2.5181,Mujer,Slim,2,18.1572,Alta
149,TRUE,0.3679,36.2079,0.6006,4.8092,Mujer,Slim,1,22.9779,Alta
150,TRUE,0.7113,6.57323,1.1987,0.7276,Mujer,Slim,0,16.2621,Media
151,TRUE,0.1343,29.9032,0.9867,4.5982,Mujer,Slim,1,22.288,Media
152,TRUE,0.2958,16.632,0.7874,1.7157,Mujer,Slim,1,31.93,Media
153,TRUE,0.1719,41.5257,0.5413,5.702,Mujer,Slim,1,27.6667,Media
154,TRUE,0.1974,22.0582,0.9197,3.8575,Mujer,Slim,1,19.6478,Media
155,TRUE,0.406,6.18696,1.1441,1.7417,Mujer,Slim,2,25.4292,Media
156,TRUE,0.1533,44.6205,0.4939,5.9409,Mujer,Slim,1,25.368,Media
157,TRUE,0.4529,10.4107,0.9532,2.4807,Mujer,Slim,3,20.3044,Alta
158,TRUE,0.8463,22.8616,0.8659,4.2752,Mujer,Slim,2,54.1661,Alta
159,TRUE,0.5326,19.3897,1.0762,3.4858,Mujer,Slim,2,21.3511,Alta
160,TRUE,0.5955,13.066,0.8168,3.0212,Mujer,Slim,3,34.7153,Alta
161,TRUE,0.3412,11.9266,0.896,2.0134,Mujer,Slim,2,19.7714,Alta
162,TRUE,0.1752,20.2552,0.8423,3.8394,Mujer,Slim,2,24.9613,Alta
163,TRUE,0.5407,23.4086,0.7026,4.0653,Mujer,Slim,2,50.8894,Alta
164,TRUE,0.2719,17.5318,0.624,3.0155,Mujer,Slim,2,32.2495,Alta
165,TRUE,0.7945,18.0966,0.8673,3.3055,Mujer,Slim,2,26.8086,Alta
166,TRUE,0.2593,28.1526,0.7551,4.0382,Mujer,Slim,1,42.295,Alta
167,TRUE,0.5184,12.5073,1.1337,2.3485,Mujer,Slim,1,16.4928,Alta
168,TRUE,0.5952,16.1685,1.1437,2.7997,Mujer,Slim,4,18.2956,Alta
169,TRUE,1.0457,9.57978,1.0758,2.3699,Mujer,Slim,3,22.0732,Alta
170,TRUE,0.6266,11.6349,0.9659,2.1267,Mujer,Slim,1,17.5508,Alta
171,TRUE,0.9778,12.3929,1.0119,2.8673,Mujer,Slim,2,16.0791,Alta
172,TRUE,0.4679,15.397,0.7501,3.3147,Mujer,Slim,1,34.8568,Alta
173,TRUE,1.1549,13.3769,1.2817,3.0873,Mujer,Slim,2,18.9915,Alta
174,TRUE,0.17,22.7043,0.9475,2.655,Mujer,Slim,1,34.221,Alta
175,TRUE,0.3893,10.1498,0.9717,2.1836,Mujer,Slim,1,24.5583,Alta
176,TRUE,0.6713,16.1387,0.9556,3.0563,Mujer,Slim,3,26.6524,Alta
177,FALSE,0.0883,34.3409,0.7768,4.6475,Mujer,Slim,1,17.8531,Media
178,FALSE,0.0953,44.3244,0.4709,5.8589,Mujer,Slim,1,26.0934,Media
179,FALSE,0.1472,34.8586,0.9582,5.0529,Mujer,Slim,1,22.6999,Media
180,FALSE,0.0884,34.1194,0.749,4.4373,Mujer,Slim,1,18.3005,Media
181,FALSE,0.1549,25.3508,0.8448,3.2948,Mujer,Slim,1,23.8301,Media
182,FALSE,0.2284,17.4496,0.7467,3.3298,Mujer,Slim,1,28.56,Alta
